pipeline,device,dim,input,n_runs,time_freeze,time_grid_pts,time_backward,time_resample,time_intensity,time_total
crop+affine+minmax,cpu,2,image,5,0.003089,0.011214,0.022243,0.012127,0.0,0.048672
crop+affine+minmax,cpu,2,image-labels,5,0.002271,0.003916,0.004743,0.022416,0.0,0.033346
crop+affine+minmax,cpu,2,image-labels-points,5,0.003934,0.029087,0.245631,0.308788,0.0,0.58744
crop+affine+elastic+minmax,cpu,2,image,5,0.005684,0.121179,1.594409,0.15819,0.0,1.879461
crop+affine+elastic+minmax,cpu,2,image-labels,5,0.003212,0.018381,0.197209,0.10504,0.0,0.323842
crop+affine+elastic+minmax,cpu,2,image-labels-points,5,0.003301,0.019497,1.838284,0.230831,0.0,2.091913
crop+affine+minmax,cpu,3,image,5,0.004581,0.370664,0.228424,4.606817,0.0,5.210486
crop+affine+minmax,cpu,3,image-labels,5,0.002562,0.51002,1.072324,14.959344,0.0,16.54425
crop+affine+minmax,cpu,3,image-labels-points,5,0.002653,0.391798,1.071425,11.340742,0.0,12.806617
crop+affine+elastic+minmax,cpu,3,image,5,0.003551,0.345593,19.773251,4.301052,0.0,24.423447
crop+affine+elastic+minmax,cpu,3,image-labels,5,0.003738,0.460415,15.207317,13.652103,0.0,29.323573
crop+affine+elastic+minmax,cpu,3,image-labels-points,5,0.002975,0.362163,11.321603,10.967266,0.0,22.654007
crop+affine+minmax,cuda,2,image,5,0.002243,0.057554,0.048352,0.00351,0.0,0.111659
crop+affine+minmax,cuda,2,image-labels,5,0.002447,0.005727,0.007191,0.004278,0.0,0.019642
crop+affine+minmax,cuda,2,image-labels-points,5,0.002257,0.010685,0.027343,0.00246,0.0,0.042746
crop+affine+elastic+minmax,cuda,2,image,5,0.002901,0.008606,0.02257,0.001238,0.0,0.035314
crop+affine+elastic+minmax,cuda,2,image-labels,5,0.002609,0.01233,0.032936,0.006926,0.0,0.054802
crop+affine+elastic+minmax,cuda,2,image-labels-points,5,0.002754,0.011302,0.068906,0.002244,0.0,0.085206
crop+affine+minmax,cuda,3,image,5,0.00217,0.216547,0.014421,0.007259,0.0,0.240397
crop+affine+minmax,cuda,3,image-labels,5,0.002594,0.199288,0.028264,0.078047,0.0,0.308193
crop+affine+minmax,cuda,3,image-labels-points,5,0.002888,0.23559,0.033666,0.066956,0.0,0.339099
crop+affine+elastic+minmax,cuda,3,image,5,0.003191,0.199498,0.347143,0.006401,0.0,0.556232
crop+affine+elastic+minmax,cuda,3,image-labels,5,0.00329,0.235498,0.351355,0.077844,0.0,0.667986
crop+affine+elastic+minmax,cuda,3,image-labels-points,5,0.002689,0.19285,0.338714,0.066789,0.0,0.601041
