//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image / 2D / cpu
//////////////////////////////////////////////////////////////////////

         5292 function calls (5287 primitive calls) in 0.061 seconds

   Ordered by: cumulative time
   List reduced from 119 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.061    0.061 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000    0.060    0.012 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.000    0.000    0.055    0.004 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.000    0.000    0.048    0.010 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.001    0.000    0.048    0.010 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
        5    0.002    0.000    0.024    0.005 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
        5    0.000    0.000    0.020    0.004 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
        5    0.020    0.004    0.020    0.004 {built-in method torch.grid_sampler}
        5    0.000    0.000    0.012    0.002 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:420(freeze)
        5    0.000    0.000    0.012    0.002 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:421(<listcomp>)
        5    0.000    0.000    0.010    0.002 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:40(__backward_transform_points_for_group)
        5    0.006    0.001    0.008    0.002 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
        5    0.002    0.000    0.008    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
       10    0.000    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\transform.py:217(freeze)
        5    0.000    0.000    0.006    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:15(__init__)
        5    0.000    0.000    0.005    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:111(get_affine_backward_transform)
      330    0.001    0.000    0.005    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
        5    0.000    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:91(__create_transforms)
        5    0.000    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:172(__resolve_affine_chain)
      215    0.004    0.000    0.004    0.000 {built-in method torch.tensor}
        5    0.000    0.000    0.004    0.001 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:123(__get_transform_groups_grid_params)
        5    0.001    0.000    0.003    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
        5    0.001    0.000    0.003    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
       30    0.001    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
       10    0.000    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:100(fov_centre)
        5    0.003    0.001    0.003    0.001 {built-in method torch.hstack}
       15    0.000    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\geometry.py:75(fov)
       40    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
       90    0.000    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:8(to_numpy)
       75    0.000    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\args.py:28(arg_to_list)
       10    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:77(create_rotation)
       25    0.001    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:11(affine_origin)
       10    0.000    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:119(create_scaling)
        5    0.001    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
       20    0.001    0.000    0.001    0.000 {built-in method torch.stack}
       50    0.000    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:37(to_list)
       10    0.001    0.000    0.001    0.000 {built-in method torch._C._linalg.linalg_multi_dot}
       40    0.000    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:111(to_tuple)
      230    0.000    0.000    0.001    0.000 {built-in method builtins.len}
       45    0.000    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:70(create_eye)



--- Top by total time ---
         5292 function calls (5287 primitive calls) in 0.061 seconds

   Ordered by: internal time
   List reduced from 119 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.020    0.004    0.020    0.004 {built-in method torch.grid_sampler}
        5    0.006    0.001    0.008    0.002 D:\Brett\code\AugMed\augmed\utils\grid.py:91(grid_points)
      215    0.004    0.000    0.004    0.000 {built-in method torch.tensor}
        5    0.003    0.001    0.003    0.001 {built-in method torch.hstack}
        5    0.002    0.000    0.024    0.005 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
        5    0.002    0.000    0.008    0.002 D:\Brett\code\AugMed\augmed\transforms\spatial\affine\affine.py:326(freeze)
        5    0.001    0.000    0.003    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:226(freeze)
       20    0.001    0.000    0.001    0.000 {built-in method torch.stack}
      330    0.001    0.000    0.005    0.000 D:\Brett\code\AugMed\augmed\utils\conversion.py:79(to_tensor)
       10    0.001    0.000    0.001    0.000 {built-in method torch._C._linalg.linalg_multi_dot}
       40    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:29(affine_spacing)
       30    0.001    0.000    0.003    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:135(create_translation)
        5    0.001    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\transforms\intensity\min_max.py:33(transform_intensity)
        5    0.001    0.000    0.003    0.001 D:\Brett\code\AugMed\augmed\transforms\grid\crop.py:62(transform_grid)
       25    0.001    0.000    0.001    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:11(affine_origin)
     2085    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       10    0.001    0.000    0.002    0.000 D:\Brett\code\AugMed\augmed\utils\matrix.py:77(create_rotation)
       45    0.001    0.000    0.001    0.000 {built-in method torch.eye}
       80    0.001    0.000    0.001    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
        5    0.001    0.000    0.048    0.010 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)




//////////////////////////////////////////////////////////////////////
crop+affine+minmax / image-labels / 2D / cpu
//////////////////////////////////////////////////////////////////////

         5797 function calls (5792 primitive calls) in 0.163 seconds

   Ordered by: cumulative time
   List reduced from 119 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.163    0.163 D:\Brett\code\AugMed\scripts\performance\profile.py:393(run)
        5    0.000    0.000    0.162    0.032 D:\Brett\code\AugMed\augmed\transforms\transform.py:248(transform)
    20/15    0.000    0.000    0.156    0.010 D:\Brett\code\AugMed\augmed\utils\args.py:17(wrapper)
        5    0.000    0.000    0.149    0.030 D:\Brett\code\AugMed\augmed\transforms\transform.py:95(transform)
        5    0.001    0.000    0.149    0.030 D:\Brett\code\AugMed\augmed\transforms\pipeline.py:191(transform_images)
       10    0.007    0.001    0.119    0.012 D:\Brett\code\AugMed\augmed\utils\grid.py:14(grid_sample)
       10    0.000    0.000    0.076    0.008 D:\Brett\.env\medical-imaging\lib\site-packages\torch\nn\functional.py:4754(grid_sample)
       10    0.076    0.008    0.076    0.008 {built-in method torch.grid_sampler}
       20    0.026    0.001    0.026    0.001 {method 'type' of 'torch._C.TensorBase' objects}
